section,region,marker,k,threshold,count,pct
wBA1-2_2-1_s4,__section__,TdT,3.0,717.51721514,10443,4.484861498818982
wBA1-2_2-1_s4,LA,TdT,2.0,477.35632676,38,3.0819140308191404
wBA1-2_2-1_s4,LA,TdT,2.25,537.396548855,29,2.3519870235198703
wBA1-2_2-1_s4,LA,TdT,2.5,597.43677095,25,2.02757502027575
wBA1-2_2-1_s4,LA,TdT,2.75,657.476993045,21,1.70316301703163
wBA1-2_2-1_s4,LA,TdT,3.0,717.51721514,17,1.37875101378751
wBA1-2_2-1_s4,BLA,TdT,2.0,477.35632676,109,5.293831957260807
wBA1-2_2-1_s4,BLA,TdT,2.25,537.396548855,87,4.225352112676056
wBA1-2_2-1_s4,BLA,TdT,2.5,597.43677095,74,3.593977659057795
wBA1-2_2-1_s4,BLA,TdT,2.75,657.476993045,64,3.1083050024283634
wBA1-2_2-1_s4,BLA,TdT,3.0,717.51721514,58,2.816901408450704
wBA1-2_2-1_s4,BMA,TdT,2.0,477.35632676,120,7.648183556405353
wBA1-2_2-1_s4,BMA,TdT,2.25,537.396548855,103,6.564690885914596
wBA1-2_2-1_s4,BMA,TdT,2.5,597.43677095,88,5.608667941363926
wBA1-2_2-1_s4,BMA,TdT,2.75,657.476993045,76,4.84384958572339
wBA1-2_2-1_s4,BMA,TdT,3.0,717.51721514,71,4.525175270873167
wBA1-2_2-1_s5,__section__,TdT,2.0,440.72655119999996,17191,7.836746230010394
wBA1-2_2-1_s5,__section__,TdT,2.25,495.27918884999997,14337,6.535712332014369
wBA1-2_2-1_s5,__section__,TdT,2.5,549.8318264999999,12148,5.537827537791069
wBA1-2_2-1_s5,__section__,TdT,2.75,604.3844641499999,10404,4.742801918272825
wBA1-2_2-1_s5,__section__,TdT,3.0,658.9371017999998,9052,4.126474717820608
wBA1-2_2-1_s5,LA,TdT,2.0,440.72655119999996,0,0.0
wBA1-2_2-1_s5,LA,TdT,2.25,495.27918884999997,0,0.0
wBA1-2_2-1_s5,LA,TdT,2.5,549.8318264999999,0,0.0
wBA1-2_2-1_s5,LA,TdT,2.75,604.3844641499999,0,0.0
wBA1-2_2-1_s5,LA,TdT,3.0,658.9371017999998,0,0.0
wBA1-2_2-1_s5,BLA,TdT,2.0,440.72655119999996,0,0.0
wBA1-2_2-1_s5,BLA,TdT,2.25,495.27918884999997,0,0.0
wBA1-2_2-1_s5,BLA,TdT,2.5,549.8318264999999,0,0.0
wBA1-2_2-1_s5,BLA,TdT,2.75,604.3844641499999,0,0.0
wBA1-2_2-1_s5,BLA,TdT,3.0,658.9371017999998,0,0.0
wBA1-2_2-1_s5,BMA,TdT,2.0,440.72655119999996,0,0.0
wBA1-2_2-1_s5,BMA,TdT,2.25,495.27918884999997,0,0.0
wBA1-2_2-1_s5,BMA,TdT,2.5,549.8318264999999,0,0.0
wBA1-2_2-1_s5,BMA,TdT,2.75,604.3844641499999,0,0.0
wBA1-2_2-1_s5,BMA,TdT,3.0,658.9371017999998,0,0.0
