config_tag,marker,class,hemisphere,region,n_slices,mean_density,sd_density,min_density,max_density,cv,total_count
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDpo1,2,2870.699,756.9238681347023,2335.473,3405.925,0.26367232096945803,367
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDpo2/3,2,4315.9285,261.3417165790802,4131.132,4500.725,0.06055283737417804,768
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDpo4,2,5047.3544999999995,95.80377646262214,4979.611,5115.098,0.01898098825089899,401
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDpo5,2,4050.0145,248.18528780832267,3874.521,4225.508,0.061280098579479816,891
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDpo6a,2,4849.8385,27.024914070169018,4830.729,4868.948,0.005572332783899715,271
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDpo6b,1,5032.012,,5032.012,5032.012,,58
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv,3,3809.885,145.34966552421105,3710.853,3976.751,0.03815067003970226,6100
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv1,3,2172.957,65.8685657730606,2101.95,2232.065,0.030312871250126255,424
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv2/3,3,3821.4773333333337,229.27044865035126,3645.659,4080.795,0.059995239707562806,1093
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv4,3,4256.092000000001,72.66569195982382,4176.47,4318.828,0.017073336751137855,717
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv5,3,3961.9373333333333,199.870693155183,3743.636,4135.947,0.05044771694736119,2096
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv6a,3,4171.192666666667,194.96189980181603,3997.055,4381.822,0.04674008500250273,1556
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDv6b,3,4283.714,329.84072652872914,3944.297,4603.062,0.07699877408452785,214
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AV,2,4341.3795,29.648280228370812,4320.415,4362.344,0.006829230254662328,2517
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AVP,2,4949.5255,1164.2986913779896,4126.242,5772.809,0.23523440608155058,765
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AVPV,2,4274.5869999999995,383.84301667218057,4003.169,4546.005,0.08979651523578315,1559
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BAC,1,6001.967,,6001.967,6001.967,,122
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BLA,3,1015.8673333333332,1759.533835082842,0.0,3047.602,1.7320508075688776,1252
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BLAa,3,3522.2746666666667,560.641766428736,3047.878,4140.957,0.15917037127581646,2438
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BLAp,1,0.0,,0.0,0.0,,0
