slice,config_tag,region,hemisphere,is_leaf,marker,class,count,density
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSs6a","Left",true,TdT,TdT+,38,69.722
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: CH","Right",false,DAPI,DAPI+,50609,2657.420
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: CH","Right",false,TdT,TdT+,1928,101.237
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: cc","Right",false,DAPI,DAPI+,3295,4623.375
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: cc","Right",false,TdT,TdT+,48,67.351
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: lotg","Right",true,DAPI,DAPI+,149,2222.973
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: lotg","Right",true,TdT,TdT+,41,611.691
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSp","Left",false,DAPI,DAPI+,6420,3513.135
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSp","Left",false,TdT,TdT+,162,88.649
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: AMv","Right",true,DAPI,DAPI+,416,4755.912
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: AMv","Right",true,TdT,TdT+,5,57.162
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: GU5","Right",true,DAPI,DAPI+,125,3869.910
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: GU5","Right",true,TdT,TdT+,4,123.837
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: GU4","Right",true,DAPI,DAPI+,21,4460.861
